"WBAN","COUNTRY","STATE","LOCATION","VECTOR","NAME","LATITUDE","LONGITUDE","ELEVATION","STATUS","COMMISSIONING","CLOSING","OPERATION","PAIRING","NETWORK"
"94084","US","ND","Northgate","5 ESE","Des Lacs National Wildlife Refuge (HB-4 Site)",48.96,-102.17,"1842","Commissioned","2007-01-25 19:00:00.0",,"Operational","NA","USCRN"
"94085","US","SD","Pierre","24 S","Fort Pierre National Grassland (Chester West)",44.01,-100.35,"2124","Commissioned","2007-01-25 19:00:00.0",,"Operational","NA","USCRN"
"94088","US","WY","Sundance","8 NNW","Bear Lodge Ranger Dist, Black Hills NF (Massengale Flats Site)",44.51,-104.43,"5792","Commissioned","2007-09-27 20:00:00.0",,"Operational","NA","USCRN"
"94092","US","CO","Akron A","4 E","USDA Central Great Plains Research Station",40.15,-103.14,"4542","Non-comissioned",,"2014-05-31 20:00:00.0","Closed","NA","USRCRN"
"94094","US","CO","Meeker","15 W","Rio Blanco Lake State Wildlife Area",40.08,-108.19,"5761","Non-comissioned",,"2014-05-31 20:00:00.0","Closed","NA","USRCRN"
"94096","US","UT","Vernal","23 SSE","FWS, Ouray National Wildlife Refuge",40.13,-109.64,"4674","Non-comissioned",,"2014-05-31 20:00:00.0","Closed","NA","USRCRN"
"94097","US","UT","Grantsville","12 WNW","BLM, Skull Valley (Muskrat Fire Station)",40.63,-112.67,"4578","Non-comissioned",,"2014-05-31 20:00:00.0","Closed","NA","USRCRN"
"94098","US","UT","Manila","18 ESE","FS, Ashley National Forest (Dutch John)",40.92,-109.38,"6536","Non-comissioned",,"2014-05-31 20:00:00.0","Closed","NA","USRCRN"
"94644","US","ME","Old Town","2 W","University of Maine  (Rogers Farm Site)",44.92,-68.7,"127","Commissioned","2004-01-11 19:00:00.0",,"Operational","NA","USCRN"
"94645","US","ME","Limestone","4 NNW","Aroostook National  Wildlife Ref. (Fire Training Area)",46.96,-67.88,"737","Commissioned","2004-01-11 19:00:00.0",,"Operational","NA","USCRN"
"94995","US","NE","Lincoln","8 ENE","University of Nebraska (Prairie Pines Site)",40.84,-96.56,"1189","Commissioned","2004-01-11 19:00:00.0",,"Operational",94996,"USCRN"
"94996","US","NE","Lincoln","11 SW","Audubon Society (Spring Creek Prairie Site)",40.69,-96.85,"1372","Commissioned","2004-01-11 19:00:00.0",,"Operational",94995,"USCRN"
"96404","US","AK","Tok","70 SE","FWS, Tetlin National Wildlife Refuge (Seaton Roadhouse site)",62.73,-141.2,"2000","Commissioned","2012-09-23 20:00:00.0",,"Operational","NA","USCRN"
"96405","US","AK","Cordova","14 ESE","Eyak Corporation, Cordova",60.47,-145.35,"83","Non-comissioned",,,"Operational","NA","USCRN"
"96406","US","AK","Ruby","44 ESE","FWS, Nowitna National Wildlife Refuge (Lake Site)",64.5,-154.12,"259","Commissioned","2015-09-28 20:00:00.0",,"Operational","NA","USCRN"
"96407","US","AK","Selawik","28 E","FWS, Selawik National Wildlife Refuge (Cabin Site)",66.56,-159,"22","Commissioned","2016-09-06 20:00:00.0",,"Operational","NA","USCRN"
"96408","US","AK","Denali","27 N","NPS, Denali National Park (Wonder Lake Campground Site)",63.45,-150.87,"2225","Commissioned","2016-09-06 20:00:00.0",,"Operational","NA","USCRN"
"96409","US","AK","Toolik Lake","5 ENE","BLM, Toolik Field Station",68.64,-149.39,"800","Non-comissioned",,,"Operational","NA","USCRN"
"NA","US","VA","Sterling","0 N","Sterling HCN",38.97,-77.48,"287","Test-site",,"2008-02-19 19:00:00.0","Closed","NA","USCRN"
"UN","US","AK","Glennallen","64 N","BLM, Paxson Airport",63.02,-145.5,"2669","Test-site","2014-07-20 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","AK","Ruby","44 ESE","FWS, Nowitna National Wildlife Refuge (Lake Site)",64.5,-154.12,"259","Test-site","2015-09-28 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","AK","Ivotuk","1 NNE","Arctic Slope Regional Corporation, Ivotuk Airstrip",68.48,-155.75,"1909","Test-site","2015-09-28 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","TN","Oakridge","0 N","ATDD test site",36,-84.24,"UN","Test-site",,,"Non-operational","NA","USCRN"
"UN","US","AK","Tok","70 SE","FWS, Tetlin National Wildlife Refuge (Seaton Roadhouse site)",62.73,-141.2,"2000","Test-site","2012-09-23 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","AK","King Salmon","42 SE","NPS, Katmai National Park (Contact Creek)",58.2,-155.92,"661","Test-site","2013-07-24 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","AK","Gustavus","2 NE","The Nature Conservancy, Gustavus Forelands Preserve",58.42,-135.69,"20","Test-site","2013-07-24 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","AK","Selawik","28 E","FWS, Selawik National Wildlife Refuge (Cabin Site)",66.56,-159,"22","Test-site","2016-09-06 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","AK","Denali","27 N","NPS, Denali National Park (Wonder Lake Campground Site)",63.45,-150.87,"2225","Test-site","2016-09-06 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","AK","Toolik Lake","5 ENE","BLM, Toolik Field Station",68.64,-149.39,"800","Test-site",,,"Operational","NA","USCRN"
"UN","US","AK","Deadhorse","3 S","AK Department of Natural Resources, Haul Road)",70.16,-148.46,"30","Test-site","2015-09-28 20:00:00.0",,"Operational","NA","USCRN"
"UN","US","AK","Cordova","14 ESE","Eyak Corporation, Cordova",60.47,-145.35,"83","Test-site",,,"Operational","NA","USCRN"
